id,slug,title,provider_name,source,deadline_date,award_amount_text,apply_url_present,provider_url_present,query_exact_title,query_title_provider,query_title_scholarship,query_title_deadline_year,query_title_provider_scholarship,query_title_scholarshiptop,manual_google_url_exact_title,manual_google_url_title_provider,manual_google_url_title_scholarship,expected_replaceability_risk
065b72e4-7643-4607-9f3b-a64f82b30310,themuseumslab-57655437,TheMuseumsLab,DAAD,daad,,"For the onsite phases the following programme-related costs will be covered by the DAAD: International and national transport to arrive to and depart from programme locations (lowest possible economy class airfare and 2nd class train tickets) Local public transport (if applicable) during Module 2, Module 3 and the Residencies Airport transfers (Module 3 in Kigali, Residencies in Africa if applicable) Visa fees (for visa processes at official entities, reimbursement) Health insurance (reimbursement up to 40 Euros) Accommodation during the onsite Modules and Residency Locations Programme related entrance fees Daily allowance during the onsite Modules and Residencies (limited compensation for meals not provided in the programme) Please note: All programme related travels and accommodations will also be arranged and booked by the DAAD.",yes,yes,TheMuseumsLab,TheMuseumsLab DAAD,TheMuseumsLab scholarship,TheMuseumsLab 2025,TheMuseumsLab DAAD scholarship,TheMuseumsLab ScholarshipStop,,,,low
0987b1c5-3a13-42d0-8afd-15018bcec2b7,programme-d-etudes-en-allemagne-pea-50015217,Programme d'Etudes en Allemagne (PEA),DAAD,daad,,Payment of 450 euros a month; additional costs for the framework programme,yes,yes,Programme d'Etudes en Allemagne (PEA),Programme d'Etudes en Allemagne (PEA) DAAD,Programme d'Etudes en Allemagne (PEA) scholarship,Programme d'Etudes en Allemagne (PEA) deadline,Programme d'Etudes en Allemagne (PEA) DAAD scholarship,Programme d'Etudes en Allemagne (PEA) ScholarshipStop,,,,high
658a3f32-fc24-475e-8c66-5dbddaa203d4,german-bundestag-international-parliamentary-scholarships-programme-arab-10000398,German Bundestag: International Parliamentary Scholarships: Programme Arab Countries,DAAD scholarship database,daad,,DAAD scholarship funding; value varies by programme,yes,yes,German Bundestag: International Parliamentary Scholarships: Programme Arab Countries,German Bundestag: International Parliamentary Scholarships: Programme Arab Countries DAAD scholarship database,German Bundestag: International Parliamentary Scholarships: Programme Arab Countries scholarship,German Bundestag: International Parliamentary Scholarships: Programme Arab Countries deadline,German Bundestag: International Parliamentary Scholarships: Programme Arab Countries DAAD scholarship database scholarship,German Bundestag: International Parliamentary Scholarships: Programme Arab Countries ScholarshipStop,,,,high
3bc81763-c202-4d0f-b2f0-d3e68fb8e8f4,in-country-in-region-scholarships-programme-at-searca-nrm-scholarship-fo-57730542,In-Country/In Region Scholarships Programme at SEARCA NRM (Scholarship for PhD’s Studies),DAAD,daad,,"The scholarship includes a monthly scholarship, travel allowance (In-Region scholarships only), printing allowance, study and research allowance, tuition fees.",yes,yes,In-Country/In Region Scholarships Programme at SEARCA NRM (Scholarship for PhD’s Studies),In-Country/In Region Scholarships Programme at SEARCA NRM (Scholarship for PhD’s Studies) DAAD,In-Country/In Region Scholarships Programme at SEARCA NRM (Scholarship for PhD’s Studies) scholarship,In-Country/In Region Scholarships Programme at SEARCA NRM (Scholarship for PhD’s Studies) deadline,In-Country/In Region Scholarships Programme at SEARCA NRM (Scholarship for PhD’s Studies) DAAD scholarship,In-Country/In Region Scholarships Programme at SEARCA NRM (Scholarship for PhD’s Studies) ScholarshipStop,,,,high
392184fe-50b6-42d0-bcdb-7c29e46b45a8,co-funded-research-grants-short-term-grants-daad-57378178,Co-funded Research Grants – Short-Term Grants - DAAD,DAAD,daad,,"Co-funded by CAPES or one of the foundations listed above: According to the agreements between DAAD and the Brazilian partner institutions the domestic doctoral scholarships will be paid during the research stay in Germany without changing the duration and value of the funding. Co-funded by DAAD: - Monthly payment of € 735 - Payments towards health, accident and personal liability insurance cover - Travel allowance (currently € 2,075), unless the expenses ar covered by the home country or another source of funding",yes,yes,Co-funded Research Grants – Short-Term Grants - DAAD,Co-funded Research Grants – Short-Term Grants - DAAD DAAD,Co-funded Research Grants – Short-Term Grants - DAAD scholarship,Co-funded Research Grants – Short-Term Grants - DAAD 2025,Co-funded Research Grants – Short-Term Grants - DAAD DAAD scholarship,Co-funded Research Grants – Short-Term Grants - DAAD ScholarshipStop,,,,high
88943f3b-b6ef-49af-bc27-c2ac19edc2b4,daad-k-c-wong-postdoc-fellowships-50015446,DAAD-K.C.Wong Postdoc Fellowships,DAAD,daad,,"Monthly scholarship rate of 2.100 EUR Combined health-, accident and liability insurance A mandatory nursing care insurance amounting to approximately €50 (depending on age) will be deducted from the scholarship payment on a monthly basis for a subsidy period of 12 months or more.",yes,yes,DAAD-K.C.Wong Postdoc Fellowships,DAAD-K.C.Wong Postdoc Fellowships DAAD,DAAD-K.C.Wong Postdoc Fellowships scholarship,DAAD-K.C.Wong Postdoc Fellowships deadline,DAAD-K.C.Wong Postdoc Fellowships DAAD scholarship,DAAD-K.C.Wong Postdoc Fellowships ScholarshipStop,,,,low
da8b7392-c23c-47ed-8228-b9d22ca1c8e5,country-related-cooperation-programme-with-colombia-colfuturo-fundaci-n--57814472,Country-related cooperation programme with Colombia (COLFUTURO - Fundación para el Futuro de Colombia) Promotion,DAAD,daad,,"Co-funded by COLFUTURO and DAAD Intensive German course in Germany (up to 6 months for doctoral candidates incl. accommodation and cost of living during this period (DAAD)); alternatively, accompanying German course during course of studies Costs of outward and return travel (DAAD) Monthly scholarship payments up to the maximum amount determined by COLFUTURO (COLFUTURO/DAAD) Medical, nursing care, accident and personal liability insurance, if applicable also for accompanying dependants (DAAD) If applicable, cost of German language course for accompanying spouse (DAAD) Contribution towards the costs of printing thesis (DAAD) Refund of TestDaF or DSH exam One-year research and study allowance The contribution awarded by COLFUTURO is a scholarship credit which is paid back in full or in part. This is based upon the guidelines of the Colfuturo sponsorship programme ""Créditos-Beca para estudios de Posgrado en el Exterior"".",yes,yes,Country-related cooperation programme with Colombia (COLFUTURO - Fundación para el Futuro de Colombia) Promotion,Country-related cooperation programme with Colombia (COLFUTURO - Fundación para el Futuro de Colombia) Promotion DAAD,Country-related cooperation programme with Colombia (COLFUTURO - Fundación para el Futuro de Colombia) Promotion scholarship,Country-related cooperation programme with Colombia (COLFUTURO - Fundación para el Futuro de Colombia) Promotion deadline,Country-related cooperation programme with Colombia (COLFUTURO - Fundación para el Futuro de Colombia) Promotion DAAD scholarship,Country-related cooperation programme with Colombia (COLFUTURO - Fundación para el Futuro de Colombia) Promotion ScholarshipStop,,,,high
298f3949-d0f1-4027-80b5-4ace00bbefb2,visual-art-scholarship-program-for-usa-canada-students-3263,Visual Art Scholarship Program For USA-Canada Students,AIS Technolabs,iefa,,$1000,yes,no,Visual Art Scholarship Program For USA-Canada Students,Visual Art Scholarship Program For USA-Canada Students AIS Technolabs,Visual Art Scholarship Program For USA-Canada Students scholarship,Visual Art Scholarship Program For USA-Canada Students deadline,Visual Art Scholarship Program For USA-Canada Students AIS Technolabs scholarship,Visual Art Scholarship Program For USA-Canada Students ScholarshipStop,,,,high
7c053eaf-ebd9-4f22-87cb-9da919fadd8a,international-baccalaureate-scholarship-2545,International Baccalaureate Scholarship,Mississippi State University,iefa,,"$6,000 - $8,000",yes,no,International Baccalaureate Scholarship,International Baccalaureate Scholarship Mississippi State University,International Baccalaureate Scholarship scholarship,International Baccalaureate Scholarship deadline,International Baccalaureate Scholarship Mississippi State University scholarship,International Baccalaureate Scholarship ScholarshipStop,,,,low
7b723cca-f869-4799-8137-2fcc48e461ac,denmark-scholarship-opportunity-3545,Denmark Scholarship Opportunity,Moneezy,iefa,,5000 DKK,yes,no,Denmark Scholarship Opportunity,Denmark Scholarship Opportunity Moneezy,Denmark Scholarship Opportunity scholarship,Denmark Scholarship Opportunity deadline,Denmark Scholarship Opportunity Moneezy scholarship,Denmark Scholarship Opportunity ScholarshipStop,,,,low
0fd261a6-b66f-43e0-9b76-de36a8d82f23,dr-marion-elder-grant-fellowship-850,Dr. Marion Elder Grant Fellowship,Canadian Federation of University Women,iefa,,"$11,500 Canadian dollars",yes,no,Dr. Marion Elder Grant Fellowship,Dr. Marion Elder Grant Fellowship Canadian Federation of University Women,Dr. Marion Elder Grant Fellowship scholarship,Dr. Marion Elder Grant Fellowship deadline,Dr. Marion Elder Grant Fellowship Canadian Federation of University Women scholarship,Dr. Marion Elder Grant Fellowship ScholarshipStop,,,,high
2a05459f-8172-4ea1-9886-a6626b3e6b58,residential-fellowship-at-the-unversity-of-notre-dame-626,Residential Fellowship at the Unversity of Notre Dame,"University of Notre Dame, Helen Kellogg Institute of International Studies",iefa,,Variable,yes,no,Residential Fellowship at the Unversity of Notre Dame,"Residential Fellowship at the Unversity of Notre Dame University of Notre Dame, Helen Kellogg Institute of International Studies",Residential Fellowship at the Unversity of Notre Dame scholarship,Residential Fellowship at the Unversity of Notre Dame deadline,"Residential Fellowship at the Unversity of Notre Dame University of Notre Dame, Helen Kellogg Institute of International Studies scholarship",Residential Fellowship at the Unversity of Notre Dame ScholarshipStop,,,,high
ed2b22c0-08c6-4101-94c2-2a3ef2c49941,tammurra-hamilton-legacy-scholarship-7698,Tammurra Hamilton Legacy Scholarship,Tam’s Beautiful Butterflies,bold_org,2026-05-29,$500,yes,no,Tammurra Hamilton Legacy Scholarship,Tammurra Hamilton Legacy Scholarship Tam’s Beautiful Butterflies,Tammurra Hamilton Legacy Scholarship scholarship,Tammurra Hamilton Legacy Scholarship 2026,Tammurra Hamilton Legacy Scholarship Tam’s Beautiful Butterflies scholarship,Tammurra Hamilton Legacy Scholarship ScholarshipStop,,,,low
73f9e2ff-c426-49a4-b04a-14f3006f7898,eric-maurice-brandon-memorial-scholarship-8273,Eric Maurice Brandon Memorial Scholarship,The Brandons,bold_org,2026-07-13,$1000,yes,no,Eric Maurice Brandon Memorial Scholarship,Eric Maurice Brandon Memorial Scholarship The Brandons,Eric Maurice Brandon Memorial Scholarship scholarship,Eric Maurice Brandon Memorial Scholarship 2026,Eric Maurice Brandon Memorial Scholarship The Brandons scholarship,Eric Maurice Brandon Memorial Scholarship ScholarshipStop,,,,high
a494428e-889d-4aea-aaef-ba04c1d22d75,fuerza-union-for-the-831-footy-scholarship-8151,Fuerza Union For the 831 Footy Scholarship,Osbaldo Lucero,bold_org,2026-06-20,$1000,yes,no,Fuerza Union For the 831 Footy Scholarship,Fuerza Union For the 831 Footy Scholarship Osbaldo Lucero,Fuerza Union For the 831 Footy Scholarship scholarship,Fuerza Union For the 831 Footy Scholarship 2026,Fuerza Union For the 831 Footy Scholarship Osbaldo Lucero scholarship,Fuerza Union For the 831 Footy Scholarship ScholarshipStop,,,,high
120c6e20-4b0b-48ad-861a-fa48146e9434,julie-adams-memorial-scholarship-women-in-stem-8362,Julie Adams Memorial Scholarship – Women in STEM,Eric Adams,bold_org,2026-06-26,$2000,yes,no,Julie Adams Memorial Scholarship – Women in STEM,Julie Adams Memorial Scholarship – Women in STEM Eric Adams,Julie Adams Memorial Scholarship – Women in STEM scholarship,Julie Adams Memorial Scholarship – Women in STEM 2026,Julie Adams Memorial Scholarship – Women in STEM Eric Adams scholarship,Julie Adams Memorial Scholarship – Women in STEM ScholarshipStop,,,,high
7208ae31-db5a-4919-9c56-52feda9866bb,jackanow-suicide-awareness-scholarship-7803,Jackanow Suicide Awareness Scholarship,Max Jackanow,bold_org,2026-06-30,$3800,yes,no,Jackanow Suicide Awareness Scholarship,Jackanow Suicide Awareness Scholarship Max Jackanow,Jackanow Suicide Awareness Scholarship scholarship,Jackanow Suicide Awareness Scholarship 2026,Jackanow Suicide Awareness Scholarship Max Jackanow scholarship,Jackanow Suicide Awareness Scholarship ScholarshipStop,,,,low
