id,title,provider,url,quality_score,reasons
c4ba05c3-1a14-4eec-9dae-ff98f1e07218,NL Scholarship,"IHS, Institute for Housing and Urban Development Studies of Erasmus University Rotterdam",https://www.mastersportal.com/scholarships/8383/nl-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
c6a73bbe-fa59-442d-b403-12269b6abaf8,Sports Scholarships,University of Leicester,https://www.mastersportal.com/scholarships/2750/sports-scholarships.html,5,exact_duplicate_group;near_duplicate;parser_garbage
cb04a78d-2bff-42a2-906b-ff98f63a2169,Chevening Scholarships,"Goldsmiths, University of London",https://www.mastersportal.com/scholarships/9682/chevening-scholarships.html,5,exact_duplicate_group;near_duplicate;parser_garbage
d12947bd-7a72-435e-bab8-d40317ae9615,Marshall Scholarship,London School of Economics and Political Science,https://www.mastersportal.com/scholarships/14134/marshall-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
db18d46a-f494-4ea6-b6ec-a6feaa7a724c,Chevening Scholarship,University of Hertfordshire,https://www.mastersportal.com/scholarships/9554/chevening-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
dbe03ad0-2e34-49de-a4b6-d81ca13b4a9c,Chevening Scholarships,The Association of Commonwealth Universities,https://www.mastersportal.com/scholarships/6769/chevening-scholarships.html,5,exact_duplicate_group;near_duplicate;parser_garbage
df99f7e5-11a0-40d8-a4f7-4a5cf63d1d12,Chevening Scholarship,The University for the Creative Arts,https://www.mastersportal.com/scholarships/14572/chevening-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
e75c1381-e1cf-41aa-ae03-473281682cd7,Office of Special Education and Rehabilitative Services (OSERS): Rehabilitation Services Administration (RSA): Parent Information and Training Program ALN 84.235F,,https://wiki.simpler.grants.gov/,5,missing_provider;expired_deadline;exact_duplicate_group;parser_garbage
f00346ab-f87d-46f9-b4e9-e5da9b4d831a,British Chevening Scholarship,UWE Bristol (University of the West of England),https://www.mastersportal.com/scholarships/7787/british-chevening-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
f8246610-59ff-4e22-9dc9-9e11a7dc1c5e,Vice-Chancellor’s Scholarship,Bangor University,https://www.mastersportal.com/scholarships/2905/vice-chancellors-scholarship.html,5,exact_duplicate_group;near_duplicate;parser_garbage
12944f52-b9f2-4ab5-97a8-558f8c69a704,Dr. Scott Greenberg Scholarship,Framingham State University,https://www.framingham.edu/admissions-aid/cost-aid/types-aid/scholarships,15,expired_deadline;anti_keywords;exact_duplicate_group
253536c3-decd-4f3c-830f-645c565d9297,ISL Midwest Senior Scholarship,Iowa Student Loan,https://bigfuture.collegeboard.org/scholarships/isl-midwest-senior-scholarship,15,expired_deadline;anti_keywords;exact_duplicate_group
6c53fb7c-0844-4725-a7c6-7ede01f94da5,James and Nan Farquhar Performing and Visual Arts Endowed Scholarship,Nova Southeastern University,https://www.nova.edu/sbin/report/scholarships/schlr-srch-params.cgi?category=Institutional&level=Undergraduate,15,expired_deadline;exact_duplicate_group;parser_garbage
adb1f915-3eed-40a8-bbc3-7121ca054e30,Lanford Family Highway Worker Memorial Scholarship Program,American Road and Transportation Builders Association,https://bigfuture.collegeboard.org/scholarships/lanford-family-highway-worker-memorial-scholarship-program,15,expired_deadline;anti_keywords;exact_duplicate_group
d047953b-fe65-4df8-bbd6-7909382e18db,Kevin Vaughan Memorial Scholarship,Massasoit Community College,https://massasoit.awardspring.com/Home/Scholarships,15,expired_deadline;anti_keywords;exact_duplicate_group
0a00ac56-a5b6-433e-afba-ec0b016fc7b8,Honors Program Scholarship,Framingham State University,https://bigfuture.collegeboard.org/scholarships/honors-program-scholarship,20,expired_deadline;exact_duplicate_group;near_duplicate
12e0195e-44d8-4789-a8db-d1ab881b1113,Alfred I. duPont Foundation Endowed Scholarship,University of North Florida,https://www.unf.edu/udae/awards/endowments.html,20,expired_deadline;exact_duplicate_group;near_duplicate
238043ad-c035-4197-a0e0-0288c4a9091f,Engineering Technology Scholarship,Midlands Technical College,https://bigfuture.collegeboard.org/scholarships/engineering-technology-scholarship,20,expired_deadline;exact_duplicate_group;near_duplicate
2c681de9-39e8-4c95-a72f-6475e3385f23,Alumni Engagement Innovation Fund 2026,,https://wiki.simpler.grants.gov/,20,missing_provider;exact_duplicate_group;parser_garbage
380d4469-c5e2-4efb-b2a7-7345d49eab92,The Hundred Club of Broward County Endowed Scholarship,University of North Florida,https://www.unf.edu/udae/awards/endowments.html,20,expired_deadline;exact_duplicate_group;near_duplicate
4ab27c51-b0c5-4def-9635-186b8d4ce662,Charles E. & Frances M. Osterman Memorial Scholarship,Florida Gateway College,https://www.fgc.edu/tuition-financial-aid/available-financial-aid/foundation-scholarships.html,20,expired_deadline;exact_duplicate_group;near_duplicate
51fa6c93-c75e-4905-b411-cd9735359368,Hundred Club of Broward County Endowed Scholarship,University of Central Florida,https://bigfuture.collegeboard.org/scholarships/hundred-club-of-broward-county-endowed-scholarship,20,expired_deadline;exact_duplicate_group;near_duplicate
546467a0-c63a-4e17-a2ef-b7288c3bea96,Wells Fargo Endowed Scholarship,University of North Florida,https://www.unf.edu/udae/awards/endowments.html,20,expired_deadline;exact_duplicate_group;near_duplicate
5c6959c0-df7a-421f-9920-7be32adf9624,GyanDhan Scholarship,GyanDhan,https://www.iefa.org/scholarships/3705/GyanDhan_Scholarship,20,missing_deadline;anti_keywords;exact_duplicate_group
5c8cfd3c-fe4f-44ff-9b8f-f5760867668e,Office of Special Education and Rehabilitative Services (OSERS): Rehabilitation Services Administration (RSA): Training of Interpreters for Individuals Who Are Deaf or Hard of Hearing and Individuals Who Are DeafBlind; Assistance Listing Number 84.160D,,https://wiki.simpler.grants.gov/,20,missing_provider;exact_duplicate_group;parser_garbage
64bc0f2b-2014-41a4-9e29-3f6ee8c30d42,Midland States Bank Scholarship,Waubonsee Community College,https://bigfuture.collegeboard.org/scholarships/midland-states-bank-scholarship,20,expired_deadline;exact_duplicate_group;near_duplicate
6a9d3b9d-7963-429a-a2a4-7e07e12d0fc5,Charles E. and Frances M. Osterman Scholarship,University of Massachusetts Amherst,https://umass.academicworks.com/opportunities,20,expired_deadline;exact_duplicate_group;near_duplicate
853daea4-dd3b-4a31-ad6c-d44c8a7596ac,San Diego County Farm Bureau Scholarship,Farm Bureau of San Diego County,https://bigfuture.collegeboard.org/scholarships/san-diego-county-farm-bureau-scholarship,20,expired_deadline;exact_duplicate_group;near_duplicate
96730efb-9cdc-42da-b695-0d0d901e8195,Transfer Scholarship,Framingham State University,https://bigfuture.collegeboard.org/scholarships/transfer-scholarship,20,expired_deadline;exact_duplicate_group;near_duplicate
9f92be95-561a-4104-8e1b-851193ae3f2c,Idaho Golf Course Superintendents Association Legacy Scholarship,Idaho Golf Course Superintendents Association,https://www.idahogcsa.org/scholarship-opportunities,20,expired_deadline;exact_duplicate_group;near_duplicate
a661d0e5-61e1-41e2-be3b-8706de406d87,Performing Arts Scholarship,Waubonsee Community College,https://bigfuture.collegeboard.org/scholarships/performing-arts-scholarship-waubonsee-community-college,20,expired_deadline;exact_duplicate_group;near_duplicate
c4a0f992-3c95-4eb1-be51-c98ea1b800fb,NCCF Survivor Scholarship Eligibility and Deadline,,https://www.scholarships.com/scholarships/nccf-survivor-scholarship,20,missing_provider;anti_keywords;exact_duplicate_group
c80cf082-937c-4af4-a5ed-9d7331966fd5,"Dr. James T. Anderson and John F. Root, Jr. Scholarship",Community Foundation of Eastern Connecticut,https://bigfuture.collegeboard.org/scholarships/dr-james-t-anderson-and-john-f-root-jr-scholarship,20,expired_deadline;exact_duplicate_group;near_duplicate
da1ef44b-f2b0-4a5e-9c7c-e3b5611a7b75,"Dr. James T. Anderson and John F. Root, Jr. Scholarship",Community Foundation of Eastern Connecticut,https://cfect.org/scholarships/scholarship-opportunities,20,expired_deadline;exact_duplicate_group;near_duplicate
e15f658b-2f14-4e06-a8b6-c22eac750e4d,Psychology Scholarship,Kankakee Community College Foundation,https://bigfuture.collegeboard.org/scholarships/psychology-scholarship,20,expired_deadline;exact_duplicate_group;near_duplicate
e6ed5559-6075-47e3-b36a-e573b1d04e49,Presidential Scholarship,Framingham State University,https://bigfuture.collegeboard.org/scholarships/presidential-scholarship-framingham-state-university,20,expired_deadline;exact_duplicate_group;near_duplicate
ed79bf49-6ac0-472e-b1b4-0751e3780eb2,Class of 1954 Scholarship,Framingham State University,https://bigfuture.collegeboard.org/scholarships/class-of-1954-scholarship,20,expired_deadline;exact_duplicate_group;near_duplicate
f2494ef7-3788-493c-b818-ff079fb02031,Idaho Golf Course Superintendents Association Turf Scholarship,Idaho Golf Course Superintendents Association,https://www.idahogcsa.org/scholarship-opportunities,20,expired_deadline;exact_duplicate_group;near_duplicate
f29b526d-d099-46d0-86db-4e7e8d7ab007,San Diego County Farm Bureau Scholarship,San Diego County Farm Bureau Federation,https://bigfuture.collegeboard.org/scholarships/san-diego-county-farm-bureau-scholarship-san-diego-county-farm-bureau-federation,20,expired_deadline;exact_duplicate_group;near_duplicate
7d14071f-33bc-489a-b254-1f22baf75aa8,CouponBirds Help To Save Scholarship,CouponBirds,https://www.iefa.org/scholarships/3209/CouponBirds_Help_To_Save_Scholarship,25,missing_deadline;exact_duplicate_group;near_duplicate
022e5542-c66d-4f93-8434-8b18fe8bb086,Greater New York Chapter WTS Community/Technical College Scholarship,WTS International-Greater New York Chapter,https://www.wtsinternational.org/chapters/greater-new-york/scholarships,30,anti_keywords;exact_duplicate_group
050b4c9a-3080-48f0-aeb6-cf94c9807b19,Adult Education Scholarship,Northeast Community College,https://northeast.edu/costs-aid/scholarships/general,30,anti_keywords;exact_duplicate_group
06f907aa-ffe3-4dfe-bdb4-cf9cd9081129,Nan C. & Mark Hillis Scholarship,Tallahassee State College,https://tscfl.scholarships.ngwebsolutions.com/Scholarships/Search,30,exact_duplicate_group;parser_garbage
0ad12e63-f988-4177-b6ed-a4bc5684bb57,Professional Bodies Bursary at Heriot-Watt University Malaysia 2026,"Heriot-Watt University, Malaysia",https://www.hw.ac.uk/malaysia/study/scholarships/discounts-and-bursaries.htm,30,anti_keywords;exact_duplicate_group
0b092e21-5a9a-4c19-a8aa-abd661d43c04,For A Bright Future Scholarship Programs,Unigo listing,https://www.unigo.com/scholarships/by-major/cybersecurity-scholarships/for-a-bright-future-scholarship-programs,30,anti_keywords;exact_duplicate_group
0b66953f-2b73-4b68-a900-02cab652aaa7,Bishop John Bryson Chane Scholarship for Social Justice,Unigo listing,https://www.unigo.com/scholarships/high-school-students/scholarships-for-high-school-seniors/bishop-john-bryson-chane-scholarship-for-social-justice,30,anti_keywords;exact_duplicate_group
0cc89128-b60f-4b32-aad2-f1970d69a11e,MPOWER Global Citizen Scholarship,MPOWER Financing,https://www.mastersportal.com/scholarships/14162/mpower-global-citizen-scholarship.html,30,exact_duplicate_group;parser_garbage
0dccabf6-57fe-499d-8cff-68443e93dfc6,William W. Weil Good Citizen Scholarship - Adult Education,Community Foundation of Hancock County,https://givehcgrowhc.org/adult-education,30,anti_keywords;exact_duplicate_group
1602ae4a-c33d-4f4e-a91e-efc6323afc1f,MPOWER MBA Scholarship,MPOWER Financing,https://www.mastersportal.com/scholarships/14164/mpower-mba-scholarship.html,30,exact_duplicate_group;parser_garbage
17412e79-6f64-4c21-85db-5e6f1448a134,MAP Scholarship,Unigo listing,https://www.unigo.com/scholarships/high-school-students/scholarships-for-high-school-juniors/map-scholarship,30,anti_keywords;exact_duplicate_group
1bcb52f0-0729-49d3-8ff6-639054f7dba7,Florida Rentals Annual Dream Vacation Scholarship,Florida Rentals,https://www.mastersportal.com/scholarships/6958/florida-rentals-annual-dream-vacation-scholarship.html,30,exact_duplicate_group;parser_garbage
1e9d07b6-aee6-4b93-902c-65131c0a51e7,Heriot-Watt Family Discount at Heriot-Watt University Malaysia 2026,"Heriot-Watt University, Malaysia",https://www.hw.ac.uk/malaysia/study/scholarships/discounts-and-bursaries.htm,30,anti_keywords;exact_duplicate_group
24c06102-3b3a-48cb-87cd-dc21dc327e6e,JCAE GED Scholarship,Johnson County Community College,https://www.jccc.edu/admissions/financial-aid/aid-types/scholarships,30,anti_keywords;exact_duplicate_group
2679b5d3-34ff-44ae-9568-171f6db601a6,"$10,000 ""No Essay"" Scholarship",Scholarships360,https://app.scholarships360.org/?status=student,30,anti_keywords;exact_duplicate_group
2791bfa6-2a41-494d-87cb-35313e74681f,SILA Post-Secondary College Scholarship,Securities and Insurance Licensing Association,https://bigfuture.collegeboard.org/scholarships/sila-post-secondary-college-scholarship,30,anti_keywords;exact_duplicate_group
2a710a9a-c718-44b8-afcc-26f9cf54dcea,John L. Dales Transitional Scholarship,Screen Actors Guild-American Federation of Television and Radio Artists,https://www.sagaftra.foundation/assistance/scholarship-programs/application,30,anti_keywords;exact_duplicate_group
2b743f72-2cc4-4957-98d2-3b820fcaea9e,GED Graduates Scholarship,Johnson County Community College,https://www.jccc.edu/admissions/financial-aid/aid-types/scholarships,30,anti_keywords;exact_duplicate_group
2fb7395e-c183-46bd-833c-2ee7a575e4f7,Ruth St. John Adult Education Scholarship,The Education Foundation of Gilchrist County,https://www.gilchristeducationfoundation.org/adult,30,anti_keywords;exact_duplicate_group
3059819e-b82d-4d83-8abd-24a94197ae74,Nan and Leon Gundersheimer Endowed Scholarship for Educators,Pensacola State College,https://pensacolastate.scholarships.ngwebsolutions.com/Scholarships/Search,30,exact_duplicate_group;parser_garbage
308b35d4-9a86-4054-a6f2-838e3d163f8f,Leon Bradley Scholarship,Unigo listing,https://www.unigo.com/scholarships/scholarships-for-black-students/african-american-scholarships/leon-bradley-scholarship,30,anti_keywords;exact_duplicate_group
328e4659-8330-42d8-902b-a6e07a490f36,Alaska Education Grant,Unigo listing,https://www.unigo.com/scholarships/grants-for-college/grants/alaska-education-grant,30,anti_keywords;exact_duplicate_group
34b7d6a7-5675-4eea-8671-0c103fd65fe2,Keisha Bodden Scholarship,Unigo listing,https://www.unigo.com/scholarships/high-school-students/scholarships-for-high-school-seniors/keisha-bodden-scholarship,30,anti_keywords;exact_duplicate_group
350ef1e9-c8c7-48de-87ce-df137e7e1a96,Sharon S. Morette Endowed Scholarship,Pensacola State College,https://pensacolastate.scholarships.ngwebsolutions.com/Scholarships/Search,30,anti_keywords;exact_duplicate_group
352636d9-9f62-4b4e-83fa-ed30b067a684,Education Foundation of Gilchrist County Adult Education Scholarship,The Education Foundation of Gilchrist County,https://www.gilchristeducationfoundation.org/adult,30,anti_keywords;exact_duplicate_group
3676d65b-6900-47d0-a987-fd6ac63c0d5b,ACTFL Future Teacher Scholarship Program,Unigo listing,https://www.unigo.com/scholarships/high-school-students/scholarships-for-high-school-seniors/actfl-future-teacher-scholarship-program,30,anti_keywords;exact_duplicate_group
3d9610e6-49b9-4d8d-abd5-78b490231d5c,Calhoun County Job Training Scholarship,Chipola College,https://chipola.academicworks.com/,30,anti_keywords;exact_duplicate_group
4191182c-2d63-44e9-bd10-9488ee2767aa,"Officer Donald B. Gamblin, Jr. Law Enforcement Scholarship",Johnson County Community College,https://www.jccc.edu/admissions/financial-aid/aid-types/scholarships,30,anti_keywords;exact_duplicate_group
41ad4146-9cdd-4cec-9f9b-179504d35e42,BrandSource Scholarship (Foster Love – Together We Rise),Unigo listing,https://www.unigo.com/scholarships/by-major/real-estate-scholarships/brandsource-scholarship-foster-love-together-we-rise-2,30,anti_keywords;exact_duplicate_group
43e6e4ff-5734-49a4-9406-461256093640,Dr. Iliana Mankin First Generation Student Endowed Book  Scholarship,Stetson University,https://www.stetson.edu/administration/financial-aid/scholarships,30,anti_keywords;exact_duplicate_group
479ae001-1d2e-4981-b2e8-c4fabec3c943,Schwarzman Scholars Program at Tsinghua University,Tsinghua University,https://www.scholars4dev.com/15830/schwarzman-scholars-program-at-tsinghua-university,30,anti_keywords;exact_duplicate_group
481b95f2-28e1-4009-86ef-3b5c26aa56e3,Eddy and Jeanny Berges Family Endowed Graduate Scholarship,University of South Florida,https://www.mastersportal.com/scholarships/13894/eddy-and-jeanny-berges-family-endowed-graduate-scholarship.html,30,exact_duplicate_group;parser_garbage
493604f3-6ae2-491e-9295-bbce785855f0,Adult Student Grant,Indiana Commission for Higher Education,https://bigfuture.collegeboard.org/scholarships/adult-student-grant,30,anti_keywords;exact_duplicate_group
4b449aee-209f-474a-aedd-7970e80f5f69,American Public Transportation Foundation Scholarship,University of Southern California,https://www.mastersportal.com/scholarships/13407/american-public-transportation-foundation-scholarship.html,30,exact_duplicate_group;parser_garbage
