id,title,provider,similarity_score,matched_id,matched_title,reason
a65f73af-da8a-491f-a455-ca8c7109108f,Nursing Scholarship,Johnson County Community College,1,bc8e06aa-3405-4189-8173-2aa37c5c9887,Nursing Scholarship,jaccard_words:1.000
190eab10-dbdb-4021-8469-9b5418861a69,In-Country/In Region Scholarships Programme at SEARCA NRM (Scholarship for Master's Studies),DAAD,0.933,3bc81763-c202-4d0f-b2f0-d3e68fb8e8f4,In-Country/In Region Scholarships Programme at SEARCA NRM (Scholarship for PhD’s Studies),levenshtein:0.933
1997dc3a-11a0-4188-be1d-f6c95c193256,School of Theatre and Dance Tuition Program for Current Students (Theatre BA),Northern Illinois University,0.88,ac89309d-5a69-4f4d-862e-2926f471e23a,School of Theatre and Dance Tuition Program for Current Students (Acting),levenshtein:0.880
7ad2f9e3-6c79-46db-ae63-94b3155b11c3,School of Theatre and Dance Tuition Program for Current Students (Design/Tech),Northern Illinois University,0.882,ac89309d-5a69-4f4d-862e-2926f471e23a,School of Theatre and Dance Tuition Program for Current Students (Acting),levenshtein:0.882
1a0d91aa-9325-4f5a-b251-30cbabafa2c7,Study Abroad and International Experience Department Scholarships Fall,University of Massachusetts Lowell,0.833,4687d323-f6ad-4d06-bb8e-f033723fe42c,Study Abroad and International Experience Department Scholarships,jaccard_words:0.833
1a0d91aa-9325-4f5a-b251-30cbabafa2c7,Study Abroad and International Experience Department Scholarships Fall,University of Massachusetts Lowell,0.833,c9a2de12-5af8-4161-8a3b-9ede6b25c09b,Study Abroad and International Experience Department Scholarship…,jaccard_words:0.833
4687d323-f6ad-4d06-bb8e-f033723fe42c,Study Abroad and International Experience Department Scholarships,University of Massachusetts Lowell,1,c9a2de12-5af8-4161-8a3b-9ede6b25c09b,Study Abroad and International Experience Department Scholarship…,jaccard_words:1.000
1a53ce92-a19f-440d-ab34-ed3da5e5f2c1,Global Excellence Scholarship,Loughborough University,1,b982cf8f-cc8d-4c59-a798-d23944a02812,Global Excellence Scholarship,jaccard_words:1.000
1a611dcb-7df9-44af-a9f6-50c5f8161a31,Phi Theta Kappa Scholarship,Tarleton State University,1,451221ff-8822-499c-a613-2dbb40ffd782,Phi Theta Kappa Scholarship,jaccard_words:1.000
1a611dcb-7df9-44af-a9f6-50c5f8161a31,Phi Theta Kappa Scholarship,Tarleton State University,1,5058d7b7-9a9d-4f07-a85d-5a7b277887de,Phi Theta Kappa Scholarship,jaccard_words:1.000
1a611dcb-7df9-44af-a9f6-50c5f8161a31,Phi Theta Kappa Scholarship,Tarleton State University,1,f55c1d01-f54e-4c9c-aa8f-52e6e914050f,Phi Theta Kappa Scholarship,jaccard_words:1.000
1a611dcb-7df9-44af-a9f6-50c5f8161a31,Phi Theta Kappa Scholarship,Tarleton State University,1,f903ba1b-b395-4457-9dfb-cae1b2a99a05,Phi Theta Kappa Scholarship,jaccard_words:1.000
451221ff-8822-499c-a613-2dbb40ffd782,Phi Theta Kappa Scholarship,Mississippi State University,1,5058d7b7-9a9d-4f07-a85d-5a7b277887de,Phi Theta Kappa Scholarship,jaccard_words:1.000
451221ff-8822-499c-a613-2dbb40ffd782,Phi Theta Kappa Scholarship,Mississippi State University,1,f55c1d01-f54e-4c9c-aa8f-52e6e914050f,Phi Theta Kappa Scholarship,jaccard_words:1.000
451221ff-8822-499c-a613-2dbb40ffd782,Phi Theta Kappa Scholarship,Mississippi State University,1,f903ba1b-b395-4457-9dfb-cae1b2a99a05,Phi Theta Kappa Scholarship,jaccard_words:1.000
5058d7b7-9a9d-4f07-a85d-5a7b277887de,Phi Theta Kappa Scholarship,Eastern Florida State College,1,f55c1d01-f54e-4c9c-aa8f-52e6e914050f,Phi Theta Kappa Scholarship,jaccard_words:1.000
5058d7b7-9a9d-4f07-a85d-5a7b277887de,Phi Theta Kappa Scholarship,Eastern Florida State College,1,f903ba1b-b395-4457-9dfb-cae1b2a99a05,Phi Theta Kappa Scholarship,jaccard_words:1.000
f55c1d01-f54e-4c9c-aa8f-52e6e914050f,Phi Theta Kappa Scholarship,Indiana State University,1,f903ba1b-b395-4457-9dfb-cae1b2a99a05,Phi Theta Kappa Scholarship,jaccard_words:1.000
1a69ca4e-f042-45a5-8ec2-43d70d8aeceb,North Dade Medical Foundation Endowed Education Scholarship,Barry University,0.881,62ac0435-f4a4-4091-8793-1ae371dd3b2c,North Dade Medical Foundation Endowed Nursing Scholarship,levenshtein:0.881
1b2d3d7e-b993-4010-a5bc-890a0f186086,Minnesota Academy of Nutrition and Dietetics Foundation Diversit…,Minnesota Academy of Nutrition and Dietetics,0.891,20c8569a-15be-4bc9-ad6e-41b9343cf0a9,Minnesota Academy of Nutrition and Dietetics Foundation Presiden…,levenshtein:0.891
1b7db4ea-7c87-4b5a-ab40-8382a01885ee,Thomas and Alice Kymalainen Scholarship,Mount Wachusett Community College,1,27c0c269-9e3a-418a-b383-655599e25b80,Thomas and Alice Kymalainen Scholarship,jaccard_words:1.000
1c4a68b4-278e-45b3-93d5-71b504b3fd68,Parkinson SHSPH Initiatives Scholarship,Loyola University Chicago,1,e14fe5fd-c4d1-404b-a202-4374c46c84cf,Parkinson SHSPH Initiatives Scholarship,jaccard_words:1.000
1c7545be-871c-4d57-a659-c7d552cd96fd,Reva Daniels Metzinger Endowed Scholarship,Broward College,1,f3d05c86-d37d-49e7-9464-f5215f2a7f68,Reva Daniels Metzinger Endowed Scholarship,jaccard_words:1.000
1d056d06-99ed-47e1-a890-c222239692a2,National Board of Respiratory Care Scholarship,Johnson County Community College,1,44167a24-1bd6-4608-b947-ddec14c39763,National Board of Respiratory Care Scholarship,jaccard_words:1.000
1d056d06-99ed-47e1-a890-c222239692a2,National Board of Respiratory Care Scholarship,Johnson County Community College,1,cc4720f7-5210-4f91-80a2-f91ca78c19b4,National Board for Respiratory Care Scholarship,jaccard_words:1.000
44167a24-1bd6-4608-b947-ddec14c39763,National Board of Respiratory Care Scholarship,San Jacinto College,1,cc4720f7-5210-4f91-80a2-f91ca78c19b4,National Board for Respiratory Care Scholarship,jaccard_words:1.000
2220a68d-0bb1-47b3-82be-8733d1a28aa4,Shawn Carter Scholarship,The Shawn Carter Scholarship Foundation,1,90fc4ed1-d2d3-4755-be02-0e20eaa48894,The Shawn Carter Scholarship,jaccard_words:1.000
225dbe22-9117-4b7f-b26f-6b92ee42b0a6,Vice-Chancellor's International Scholarship,Hartpury University,1,77ad2100-3368-4b5f-ac0d-6fca99d1f625,Vice Chancellor's International Scholarship,jaccard_words:1.000
22aa3f7d-07ee-4b1a-94a7-6cb106418997,International Masters Scholarship,The Glasgow School of Art,1,b2d8d938-a9a9-4cfa-9f4c-1e4287a1d777,International Masters Scholarship,jaccard_words:1.000
238043ad-c035-4197-a0e0-0288c4a9091f,Engineering Technology Scholarship,Midlands Technical College,1,64cb162d-ac6a-4bfa-94f9-0a39bcd85ff9,Engineering Technology Scholarship,jaccard_words:1.000
245b4472-c303-4abe-bff2-4a4c926de424,Alumni Scholarship,Cuyahoga Community College,1,4ce4f005-7ca9-4245-a823-7a6dc2f7e3b6,Alumni Scholarship,jaccard_words:1.000
264274ca-c355-49b8-ad5a-ceb5c49f38bf,Carl R. Safford  and Dorothy Croft (Fitch) Scholarship,Community Foundation of Eastern Connecticut,0.9,a81446dc-23f4-4e6a-b92c-8bd77b0d2b5b,Carl R. Safford and Dorothy Croft (UConn) Scholarship,levenshtein:0.900
26df14dd-989b-4c71-80b6-7ab12d956e13,Martin Luther King Jr. Scholarship Awards,American Correctional Association,1,47ab227a-7f97-40f4-bda8-4b7ffaa947ab,"Martin Luther King, Jr. Scholarship",jaccard_words:1.000
27554250-6632-4aa4-8fe7-3aafd5d09dea,International Student Award,Suny Cortland,1,ad35c98b-270d-4d7b-a81b-dd8ae01a7938,International Student Scholarships,jaccard_words:1.000
276adf32-154f-4923-b0f6-3c044d201bb9,Richard W. and Karen B. Moore Veterans Scholarship,Tallahassee State College,0.833,62a9efd4-bf6e-4f42-b48b-8cad2aff8bb0,Richard W. and Karen B. Moore Scholarship,jaccard_words:0.833
27877636-354e-46a7-bfa9-7b3ffa324303,The Frank P. Cihlar Endowed Scholarship,Loyola University Chicago,1,9483faf7-3544-4839-8e38-b4e5a10e28ea,Frank P. Cihlar Endowed Scholarship,jaccard_words:1.000
28c9f39e-e205-4cde-9f41-772dabc86c7d,Chevening Scholarships,Durham University,1,32a2b46b-b7a0-4e9c-9823-d7bcf8bee04c,Chevening Scholarship,jaccard_words:1.000
28c9f39e-e205-4cde-9f41-772dabc86c7d,Chevening Scholarships,Durham University,1,3da67cc6-4527-4e94-b4d7-14f3aa5b79b6,Chevening Scholarships,jaccard_words:1.000
28c9f39e-e205-4cde-9f41-772dabc86c7d,Chevening Scholarships,Durham University,1,492480f6-6421-4d14-9c32-cbc8cc7c7700,Chevening Scholarships,jaccard_words:1.000
28c9f39e-e205-4cde-9f41-772dabc86c7d,Chevening Scholarships,Durham University,1,748ee3ed-a862-474b-b226-322f5607c335,Chevening Scholarships,jaccard_words:1.000
28c9f39e-e205-4cde-9f41-772dabc86c7d,Chevening Scholarships,Durham University,1,7f5c75c5-0c1d-4568-a559-1f9715a74b08,Chevening Scholarships,jaccard_words:1.000
28c9f39e-e205-4cde-9f41-772dabc86c7d,Chevening Scholarships,Durham University,1,833adc37-2190-441b-b949-dfc10fc2d817,Chevening Scholarships,jaccard_words:1.000
28c9f39e-e205-4cde-9f41-772dabc86c7d,Chevening Scholarships,Durham University,1,cb04a78d-2bff-42a2-906b-ff98f63a2169,Chevening Scholarships,jaccard_words:1.000
28c9f39e-e205-4cde-9f41-772dabc86c7d,Chevening Scholarships,Durham University,1,db18d46a-f494-4ea6-b6ec-a6feaa7a724c,Chevening Scholarship,jaccard_words:1.000
28c9f39e-e205-4cde-9f41-772dabc86c7d,Chevening Scholarships,Durham University,1,dbe03ad0-2e34-49de-a4b6-d81ca13b4a9c,Chevening Scholarships,jaccard_words:1.000
28c9f39e-e205-4cde-9f41-772dabc86c7d,Chevening Scholarships,Durham University,1,df99f7e5-11a0-40d8-a4f7-4a5cf63d1d12,Chevening Scholarship,jaccard_words:1.000
28c9f39e-e205-4cde-9f41-772dabc86c7d,Chevening Scholarships,Durham University,1,f86d59c8-5f5d-4f92-917e-84cd73002f67,Chevening Awards,jaccard_words:1.000
32a2b46b-b7a0-4e9c-9823-d7bcf8bee04c,Chevening Scholarship,"City St George's, University of London",1,3da67cc6-4527-4e94-b4d7-14f3aa5b79b6,Chevening Scholarships,jaccard_words:1.000
32a2b46b-b7a0-4e9c-9823-d7bcf8bee04c,Chevening Scholarship,"City St George's, University of London",1,492480f6-6421-4d14-9c32-cbc8cc7c7700,Chevening Scholarships,jaccard_words:1.000
32a2b46b-b7a0-4e9c-9823-d7bcf8bee04c,Chevening Scholarship,"City St George's, University of London",1,748ee3ed-a862-474b-b226-322f5607c335,Chevening Scholarships,jaccard_words:1.000
32a2b46b-b7a0-4e9c-9823-d7bcf8bee04c,Chevening Scholarship,"City St George's, University of London",1,7f5c75c5-0c1d-4568-a559-1f9715a74b08,Chevening Scholarships,jaccard_words:1.000
32a2b46b-b7a0-4e9c-9823-d7bcf8bee04c,Chevening Scholarship,"City St George's, University of London",1,833adc37-2190-441b-b949-dfc10fc2d817,Chevening Scholarships,jaccard_words:1.000
32a2b46b-b7a0-4e9c-9823-d7bcf8bee04c,Chevening Scholarship,"City St George's, University of London",1,cb04a78d-2bff-42a2-906b-ff98f63a2169,Chevening Scholarships,jaccard_words:1.000
32a2b46b-b7a0-4e9c-9823-d7bcf8bee04c,Chevening Scholarship,"City St George's, University of London",1,db18d46a-f494-4ea6-b6ec-a6feaa7a724c,Chevening Scholarship,jaccard_words:1.000
32a2b46b-b7a0-4e9c-9823-d7bcf8bee04c,Chevening Scholarship,"City St George's, University of London",1,dbe03ad0-2e34-49de-a4b6-d81ca13b4a9c,Chevening Scholarships,jaccard_words:1.000
32a2b46b-b7a0-4e9c-9823-d7bcf8bee04c,Chevening Scholarship,"City St George's, University of London",1,df99f7e5-11a0-40d8-a4f7-4a5cf63d1d12,Chevening Scholarship,jaccard_words:1.000
32a2b46b-b7a0-4e9c-9823-d7bcf8bee04c,Chevening Scholarship,"City St George's, University of London",1,f86d59c8-5f5d-4f92-917e-84cd73002f67,Chevening Awards,jaccard_words:1.000
3da67cc6-4527-4e94-b4d7-14f3aa5b79b6,Chevening Scholarships,King's College London,1,492480f6-6421-4d14-9c32-cbc8cc7c7700,Chevening Scholarships,jaccard_words:1.000
3da67cc6-4527-4e94-b4d7-14f3aa5b79b6,Chevening Scholarships,King's College London,1,748ee3ed-a862-474b-b226-322f5607c335,Chevening Scholarships,jaccard_words:1.000
3da67cc6-4527-4e94-b4d7-14f3aa5b79b6,Chevening Scholarships,King's College London,1,7f5c75c5-0c1d-4568-a559-1f9715a74b08,Chevening Scholarships,jaccard_words:1.000
3da67cc6-4527-4e94-b4d7-14f3aa5b79b6,Chevening Scholarships,King's College London,1,833adc37-2190-441b-b949-dfc10fc2d817,Chevening Scholarships,jaccard_words:1.000
3da67cc6-4527-4e94-b4d7-14f3aa5b79b6,Chevening Scholarships,King's College London,1,cb04a78d-2bff-42a2-906b-ff98f63a2169,Chevening Scholarships,jaccard_words:1.000
3da67cc6-4527-4e94-b4d7-14f3aa5b79b6,Chevening Scholarships,King's College London,1,db18d46a-f494-4ea6-b6ec-a6feaa7a724c,Chevening Scholarship,jaccard_words:1.000
3da67cc6-4527-4e94-b4d7-14f3aa5b79b6,Chevening Scholarships,King's College London,1,dbe03ad0-2e34-49de-a4b6-d81ca13b4a9c,Chevening Scholarships,jaccard_words:1.000
3da67cc6-4527-4e94-b4d7-14f3aa5b79b6,Chevening Scholarships,King's College London,1,df99f7e5-11a0-40d8-a4f7-4a5cf63d1d12,Chevening Scholarship,jaccard_words:1.000
3da67cc6-4527-4e94-b4d7-14f3aa5b79b6,Chevening Scholarships,King's College London,1,f86d59c8-5f5d-4f92-917e-84cd73002f67,Chevening Awards,jaccard_words:1.000
492480f6-6421-4d14-9c32-cbc8cc7c7700,Chevening Scholarships,University of Bath,1,748ee3ed-a862-474b-b226-322f5607c335,Chevening Scholarships,jaccard_words:1.000
492480f6-6421-4d14-9c32-cbc8cc7c7700,Chevening Scholarships,University of Bath,1,7f5c75c5-0c1d-4568-a559-1f9715a74b08,Chevening Scholarships,jaccard_words:1.000
492480f6-6421-4d14-9c32-cbc8cc7c7700,Chevening Scholarships,University of Bath,1,833adc37-2190-441b-b949-dfc10fc2d817,Chevening Scholarships,jaccard_words:1.000
492480f6-6421-4d14-9c32-cbc8cc7c7700,Chevening Scholarships,University of Bath,1,cb04a78d-2bff-42a2-906b-ff98f63a2169,Chevening Scholarships,jaccard_words:1.000
