url,type,sourceType,score,status,titleLength,metaDescriptionLength,scholarshipResultsCount,indexable,issues
/providers/broward-college,provider,internal,70,medium,38,463,262,true,meta_description_length_out_of_range|faq_missing
/providers/eastern-florida-state-college,provider,internal,70,medium,52,601,236,true,meta_description_length_out_of_range|faq_missing
/providers/worcester-state-university,provider,internal,70,medium,49,667,233,true,meta_description_length_out_of_range|faq_missing
/providers/university-of-west-florida,provider,internal,70,medium,49,994,231,true,meta_description_length_out_of_range|faq_missing
/providers/tallahassee-state-college,provider,internal,70,medium,48,435,220,true,meta_description_length_out_of_range|faq_missing
/providers/san-jacinto-college,provider,internal,70,medium,42,470,185,true,meta_description_length_out_of_range|faq_missing
/providers/southwestern-illinois-college-foundation,provider,internal,70,medium,63,576,170,true,meta_description_length_out_of_range|faq_missing
/providers/waubonsee-community-college,provider,internal,70,medium,50,558,156,true,meta_description_length_out_of_range|faq_missing
/providers/chipola-college,provider,internal,70,medium,38,488,147,true,meta_description_length_out_of_range|faq_missing
/providers/austin-community-college,provider,internal,70,medium,47,586,138,true,meta_description_length_out_of_range|faq_missing
/providers/university-of-north-florida,provider,internal,70,medium,50,991,125,true,meta_description_length_out_of_range|faq_missing
/providers/kankakee-community-college-foundation,provider,internal,70,medium,60,1051,122,true,meta_description_length_out_of_range|faq_missing
/providers/university-of-massachusetts-amherst,provider,internal,70,medium,58,644,120,true,meta_description_length_out_of_range|faq_missing
